date,code,name,sector,trigger,tag,score,score_reason,zone_hi,zone_lo,stop,risk_shallow,risk_deep,risk_pct_shallow,risk_pct_deep,atr,unit_cost,close_at_listing,expire_date,time_stop,zone_width_atr,zone_floored,tailwind,headwind,hivol,gap_date,earnings_est_days,adv20_jpy
2026-07-30,3397,トリドールホールディングス,小売業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高3.0倍+2 / 当日ギャップ+1 / 高値引け(96%)+2 / 順風セクター+1,4595.0,4485.0,4285.0,310.0,200.0,6.75,4.46,111.96,458400,4584.0,08/04,20,0.98,0,1,0,0,2026-07-29,60,1210017710
2026-07-30,3635,コーエーテクモホールディングス,情報・通信業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高3.7倍+2 / 当日ギャップ+1 / 高値引け(93%)+2 / 順風セクター+1,1656.0,1619.0,1547.0,109.0,72.0,6.58,4.45,53.64,164900,1649.0,08/04,20,0.69,0,1,0,0,2026-07-29,60,1876549755
2026-07-30,2685,アンドエスティＨＤ,小売業,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(86%)+1 / 押し1.52ATR+1 / 順風セクター+1,3435.0,3380.0,3270.0,165.0,110.0,4.80,3.25,87.40,350000,3500.0,08/04,10,0.63,0,1,0,0,,41,778003350
2026-07-30,3697,ＳＨＩＦＴ,情報・通信業,材料反応,1ヶ月,7,材料反応+4(日本でもPEAD確認) / 出来高2.4倍+1 / 高値引け(70%)+1 / 順風セクター+1,967.0,935.0,872.0,95.0,63.0,9.82,6.74,51.26,95000,950.0,08/04,20,0.62,0,1,0,0,2026-07-28,52,6656371160
2026-07-30,4151,協和キリン,医薬品,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(79%)+1 / 浅い押し(0.79ATR)+2,2691.0,2648.0,2567.0,124.0,81.0,4.61,3.06,58.49,270300,2703.0,08/04,10,0.74,0,0,0,0,,33,2831111008
2026-07-31,166A,タスキホールディングス,不動産業,材料反応,1ヶ月,10,材料反応+4(日本でもPEAD確認) / 出来高11.4倍+2 / 当日ギャップ+1 / トレンド整合+1 / 高値引け(100%)+2,1119.0,1093.0,1044.0,75.0,49.0,6.70,4.48,41.42,111900,1119.0,08/05,20,0.63,0,0,0,0,2026-07-30,60,465606810
2026-07-31,3156,レスター,卸売業,材料反応,1ヶ月,9,材料反応+4(日本でもPEAD確認) / 出来高3.6倍+2 / 当日ギャップ+1 / トレンド整合+1 / 高値引け(78%)+1,4190.0,4030.0,3740.0,450.0,290.0,10.74,7.20,182.79,410000,4100.0,08/05,20,0.88,0,0,0,0,2026-07-30,60,330292025
2026-07-31,3635,コーエーテクモホールディングス,情報・通信業,材料反応,1ヶ月,8,材料反応+4(日本でもPEAD確認) / 出来高3.7倍+2 / 高値引け(77%)+1 / 順風セクター+1,1656.0,1619.0,1547.0,109.0,72.0,6.58,4.45,54.20,167100,1671.0,08/05,20,0.68,0,1,0,0,2026-07-29,59,2122152642
2026-07-31,2685,アンドエスティＨＤ,小売業,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(83%)+1 / 押し1.71ATR+1 / 順風セクター+1,3515.0,3425.0,3270.0,245.0,155.0,6.97,4.53,85.80,348500,3485.0,08/05,10,1.05,0,1,0,0,,40,772015200
2026-07-31,8008,ヨンドシーホールディングス,小売業,押し目,2週間,7,押し目+3(日本は短期反転が強い) / トレンド整合+1 / 高値引け(100%)+2 / 順風セクター+1,2092.0,2056.0,1987.0,105.0,69.0,5.02,3.36,48.04,210400,2104.0,08/05,10,0.75,0,1,0,0,,48,284828775
