code,name,date,reason
4336,クリエアナブキ,2022-02-24,株式等売渡請求による取得
3956,国際チャート,2022-02-25,ナカバヤシの完全子会社化
7862,トッパン・フォームズ,2022-02-25,株式等売渡請求による取得
8287,マックスバリュ西日本,2022-02-25,フジの完全子会社化
6541,グレイステクノロジー,2022-02-28,四半期報告書提出遅延
9358,宇徳,2022-02-28,株式等売渡請求による取得
9695,鴨川グランドホテル,2022-03-11,株式の併合
7758,セコニック,2022-03-16,株式の併合
1737,三井金属エンジニアリング,2022-03-23,株式等売渡請求による取得
8922,日本アセットマーケティング,2022-03-23,株式等売渡請求による取得
7697,ＲＥＸＴ,2022-03-28,株式の併合
1448,スペースバリューホールディングス,2022-03-29,株式の併合
1881,ＮＩＰＰＯ,2022-03-29,株式の併合
5358,イソライト工業,2022-03-29,株式等売渡請求による取得
7597,東京貴宝,2022-03-29,株式の併合
4764,Ｎｅｘｕｓ　Ｂａｎｋ,2022-03-30,Ｊトラストの完全子会社化
7748,ホロン,2022-03-30,Ａ＆Ｄホロンホールディングスの完全子会社化
8342,青森銀行,2022-03-30,プロクレアホールディングスの完全子会社化
8350,みちのく銀行,2022-03-30,プロクレアホールディングスの完全子会社化
7365,シック・ホールディングス,2022-04-12,株式等売渡請求による取得
7045,ツクイスタッフ,2022-04-19,株式等売渡請求による取得
1413,ヒノキヤグループ,2022-04-25,ヤマダホールディングスの完全子会社化
4962,互応化学工業,2022-04-26,株式等売渡請求による取得
8806,ダイビル,2022-04-26,株式の併合
6639,コンテック,2022-04-28,株式等売渡請求による取得
9176,佐渡汽船,2022-05-06,株式の併合
6553,ソウルドアウト,2022-05-09,株式等売渡請求による取得
1352,ホウスイ,2022-05-19,株式等売渡請求による取得
4699,ウチダエスコ,2022-05-27,株式の併合
3960,バリューデザイン,2022-05-30,アララの完全子会社化
9179,川崎近海汽船,2022-05-30,川崎汽船の完全子会社化
2729,ＪＡＬＵＸ,2022-06-02,株式の併合
2406,アルテ　サロン　ホールディングス,2022-06-07,株式の併合
6916,アイ・オー・データ機器,2022-06-16,株式の併合
7169,ＮＦＣホールディングス,2022-07-13,株式等売渡請求による取得
9641,サコス,2022-07-15,株式等売渡請求による取得
2905,オーケー食品工業,2022-07-21,ニップンの完全子会社化
5387,チヨダウーテ,2022-07-27,株式等売渡請求による取得
4999,セメダイン,2022-07-28,カネカの完全子会社化
5907,ＪＦＥコンテイナー,2022-07-28,ＪＦＥスチール（非上場）の完全子会社化
7945,コマニー,2022-07-28,株式等売渡請求による取得
2176,イナリサーチ,2022-08-17,株式等売渡請求による取得
2178,トライステージ,2022-08-22,株式の併合
5964,東洋刃物,2022-08-22,株式等売渡請求による取得
2191,テラ,2022-08-23,破産手続き
9375,近鉄エクスプレス,2022-08-26,株式等売渡請求による取得
2773,ミューチュアル,2022-08-29,株式等売渡請求による取得
2925,ピックルスコーポレーション,2022-08-30,ピックルスホールディングスの完全子会社化
9014,新京成電鉄,2022-08-30,京成電鉄の完全子会社化
2159,フルスピード,2022-09-01,株式の併合
2352,ＷＯＷ　ＷＯＲＬＤ,2022-09-29,ＷＯＷ　ＷＯＲＬＤ　ＧＲＯＵＰの完全子会社化
3390,ＩＮＥＳＴ （2022年10月3日付でＩＮＴ（株）に商号変更予定）,2022-09-29,ＩＮＥＳＴの完全子会社化
7838,共立印刷,2022-09-29,ＫＹＯＲＩＴＳＵの完全子会社化
8355,静岡銀行,2022-09-29,しずおかフィナンシャルグループの完全子会社化
8382,中国銀行,2022-09-29,ちゅうぎんフィナンシャルグループの完全子会社化
8385,伊予銀行,2022-09-29,いよぎんホールディングスの完全子会社化
8527,愛知銀行,2022-09-29,あいちフィナンシャルグループの完全子会社化
8530,中京銀行,2022-09-29,あいちフィナンシャルグループの完全子会社化
3356,テリロジー,2022-10-28,テリロジーホールディングスの完全子会社化
3919,パイプドＨＤ,2022-10-31,株式の併合
7070,ＳＩホールディングス,2022-11-09,株式の併合
4550,日水製薬,2022-11-11,株式の併合
6815,ユニデンホールディングス,2022-11-29,株式の併合
5008,東亜石油,2022-12-13,株式等売渡請求による取得
6175,ネットマーケティング,2022-12-16,株式の併合
6826,本多通信工業,2022-12-20,株式の併合
3578,倉庫精練,2022-12-21,株式の併合
8909,シノケングループ,2022-12-22,株式の併合
3906,ＡＬＢＥＲＴ,2022-12-26,株式等売渡請求による取得
5486,日立金属,2022-12-29,株式の併合
9631,東急レクリエーション,2022-12-29,東急の完全子会社化
4653,ダイオーズ,2023-01-20,株式の併合
5807,東京特殊電線,2023-01-25,株式等売渡請求による取得
9964,アイ・テック,2023-01-25,株式の併合
6409,キトー,2023-01-26,株式の併合
3528,ミライノベート,2023-01-30,Ｊトラストに合併
3966,ユーザベース,2023-02-07,株式等売渡請求による取得
6303,ササクラ,2023-02-07,株式等売渡請求による取得
9086,日立物流,2023-02-24,株式の併合
9945,プレナス,2023-02-24,株式の併合
6205,ニデックオーケーケー,2023-02-27,日本電産の完全子会社化
7339,アイペットホールディングス,2023-03-01,株式等売渡請求による取得
2761,トシン・グループ,2023-03-06,株式の併合
7895,中央化学,2023-03-16,株式等売渡請求による取得
9422,コネクシオ,2023-03-17,株式等売渡請求による取得
6355,住友精密工業,2023-03-22,株式の併合
4541,日医工,2023-03-29,株式の併合
3999,ナレッジスイート,2023-03-30,ＢＢＤイニシアティブの完全子会社化
9728,日本管財,2023-03-30,日本管財ホールディングスの完全子会社化
6641,日新電機,2023-04-27,株式等売渡請求による取得
8249,テクノアソシエ,2023-04-27,株式等売渡請求による取得
9318,アジア開発キャピタル,2023-04-30,内部管理体制確認書が再提出され、内部管理体制等について改善がなされなかったと当取引所が認める場合
8096,兼松エレクトロニクス,2023-05-02,株式等売渡請求による取得
2777,カッシーナ・イクスシー,2023-05-10,株式等売渡請求による取得
9734,精養軒,2023-05-19,株式の併合
7961,兼松サステック,2023-05-30,株式の併合
8521,長野銀行,2023-05-30,八十二銀行の完全子会社化
5128,ＷＯＷ　ＷＯＲＬＤ　ＧＲＯＵＰ,2023-06-05,株式の併合
6924,岩崎電気,2023-06-09,株式の併合
5999,イハラサイエンス,2023-06-12,株式の併合
5104,日東化工,2023-06-19,株式の併合
9810,日鉄物産,2023-06-21,株式の併合
1954,日本工営,2023-06-29,ID&Eホールディングスの完全子会社化
6067,インパクトホールディングス,2023-06-29,株式の併合
6172,メタップス,2023-06-29,株式の併合
4327,日本エス・エイチ・エル,2023-07-19,株式の併合
4708,りらいあコミュニケーションズ,2023-07-27,株式等売渡請求による取得
6032,インターワークス,2023-07-28,コンフィデンスに合併
3782,ディー・ディー・エス,2023-08-04,内部管理体制確認書の提出前で、内部管理体制等について改善の見込みがなくなったと当取引所が認める場合
9967,堺商事,2023-08-21,株式等売渡請求による取得
3085,アークランドサービスホールディングス,2023-08-30,アークランズの完全子会社化
2706,ブロッコリー,2023-09-26,株式の併合
3464,プロパティエージェント,2023-09-28,ミガロホールディングスの完全子会社化
6461,日本ピストンリング,2023-09-28,リケンＮＰＲの完全子会社化
6462,リケン,2023-09-28,リケンＮＰＲの完全子会社化
6569,日総工産,2023-09-28,ＮＩＳＳＯホールディングスの完全子会社化
8303,ＳＢＩ新生銀行,2023-09-28,株式の併合
8369,京都銀行,2023-09-28,京都フィナンシャルグループの完全子会社化
4423,アルテリア・ネットワークス,2023-10-18,株式の併合
4355,ロングライフホールディング,2023-10-25,株式の併合
6881,キョウデン,2023-10-26,株式等売渡請求による取得
7618,ピーシーデポコーポレーション,2023-10-27,株式の併合
7671,ＡｍｉｄＡホールディングス,2023-10-27,株式等売渡請求による取得
3316,東京日産コンピュータシステム,2023-10-30,株式等売渡請求による取得
3228,三栄建築設計,2023-11-01,株式等売渡請求による取得
4200,ＨＣＳホールディングス,2023-11-27,株式等売渡請求による取得
4739,伊藤忠テクノソリューションズ,2023-12-01,株式の併合
4621,ロックペイント,2023-12-13,株式の併合
6502,東芝,2023-12-20,株式の併合
7905,大建工業,2023-12-21,株式の併合
4963,星光ＰＭＣ,2023-12-28,株式の併合
1400,ルーデン・ホールディングス,2023-12-30,内部管理体制確認書の提出前で、内部管理体制等について改善の見込みがなくなったと当取引所が認める場合
8168,ケーヨー,2024-01-04,株式等売渡請求による取得
8256,プロルート丸光,2024-01-06,会社更生手続
7298,八千代工業,2024-01-10,株式等売渡請求による取得
2402,アマナ,2024-01-29,株式の併合
9263,ビジョナリーホールディングス,2024-01-29,株式の併合
6192,ハイアス・アンド・カンパニー,2024-01-30,くふう住まい（非上場）の完全子会社化
7899,ＭＩＣＳ化学,2024-01-30,中本パックスの完全子会社化
6121,ＴＡＫＩＳＡＷＡ,2024-01-31,株式の併合
3677,システム情報,2024-02-07,株式の併合
3852,サイバーコム,2024-02-08,株式等売渡請求による取得
6618,大泉製作所,2024-02-08,株式等売渡請求による取得
4312,サイバネットシステム,2024-02-09,株式等売渡請求による取得
3784,ヴィンクス,2024-02-15,株式等売渡請求による取得
6188,富士ソフトサービスビューロ,2024-02-16,株式等売渡請求による取得
8854,日住サービス,2024-03-07,株式の併合
4987,寺岡製作所,2024-03-11,株式の併合
