日付,コード,エラー種別
2026-07-13,5590,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5591,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5592,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5595,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5596,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5597,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5602,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5603,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5609,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5616,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5619,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5621,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5631,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5658,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5660,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5695,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5697,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5699,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5702,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5703,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5706,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5707,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5711,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5713,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5715,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5721,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5724,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5727,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5729,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5741,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5742,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5753,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5856,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5965,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5966,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5967,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5969,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5971,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5973,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5974,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5976,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5982,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5983,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5985,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5986,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5987,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5988,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5991,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5992,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5997,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,5998,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6016,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6018,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6022,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6023,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6028,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6029,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6030,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6033,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6034,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6036,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6037,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6038,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6039,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6042,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6044,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6045,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6058,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6059,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6060,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6061,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6063,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6069,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6078,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6080,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6085,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6086,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6087,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6088,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6091,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6093,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6096,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6118,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6137,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6138,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6158,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6171,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6173,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6178,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6180,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6183,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6199,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6201,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6203,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6210,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6222,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6224,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6249,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6262,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6265,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6268,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6269,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6273,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6276,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6277,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6278,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6284,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6287,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6289,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6293,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6297,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6301,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6309,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6312,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6324,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6328,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6332,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6333,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6336,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6338,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6339,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6343,取得失敗(理由不明・一括ダウンロードから欠落)
