date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_2-a,part_2-b,part_2-c,part_2-d,part_4-b
2026-08-18,1952,新日本空調,建設業,30.0,0.0,除外,0.2455,0.4818,0.1401,,0.3326,0.0,0.0938,0.0,0.4667,0.2273,0.3684,0.2,0.8513,0.1278,0.3006,0.0507,"1,2,3,4,5",0.0,0.9699,0.5,0.0,0.494,0.0,0.0,0.0,0.6559,0.5294,0.7419,0.0,
2026-08-18,1959,クラフティア,建設業,39.11,0.0,除外,0.3108,0.4905,0.5219,,0.2413,0.2262,0.2776,0.9839,0.6,0.2273,0.6842,0.2,0.3857,0.1283,0.2236,0.2277,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.8895,0.097,0.0,0.0,0.6612,0.5588,0.7419,0.0,
2026-08-18,1961,三機工業,建設業,43.45,0.2,除外,0.5681,0.6681,0.2247,0.4361,0.2757,0.0,0.4815,0.1505,0.2667,1.0,0.5263,0.2,0.3794,0.1111,0.6121,0.0,"1,3,4,5",1.0,1.0,1.0,0.0,1.0,0.0451,0.5,0.0,0.8478,0.9412,0.7419,0.1415,0.0182
2026-08-18,1963,日揮ホールディングス,建設業,53.42,0.6,監視,0.6355,0.6227,0.6145,0.2013,0.5972,0.566,0.3918,0.9001,0.6,0.5,0.1053,0.2,1.0,0.3889,1.0,0.0,"4,5",1.0,1.0,1.0,0.0,1.0,0.1841,0.5,0.4,0.837,0.9118,0.7419,0.0,0.0
2026-08-18,1964,中外炉工業,建設業,37.21,0.2,除外,0.0,0.3619,0.439,,0.6873,0.0,0.3198,0.903,0.5333,0.2273,0.1053,0.5,0.9809,0.1235,0.6449,1.0,"1,2,3,4",,,,,,,,,0.4115,0.2941,0.7419,0.0,
2026-08-18,1965,テクノ菱和,建設業,47.88,0.2,除外,0.625,0.5841,0.1947,,0.5112,0.0,0.3123,0.0,0.4667,0.0909,0.1053,0.5,0.6062,0.1219,0.3168,1.0,"2,3,4,5",0.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.7856,0.8088,0.7419,0.0,
2026-08-18,1968,太平電業,建設業,41.84,0.2,除外,0.2634,0.4639,0.1937,,0.7527,0.0,0.2414,0.0,0.5333,0.2273,0.675,0.5,1.0,0.1783,0.8924,0.94,"1,2,3,4",0.0,1.0,0.5,0.0,0.583,0.0245,0.0,0.0,0.6282,0.4853,0.7419,0.0,
2026-08-18,1969,高砂熱学工業,建設業,32.58,0.0,除外,0.2022,0.4351,0.3364,,0.3295,0.3344,0.4113,0.0,0.6,0.2273,0.5263,0.2,0.888,0.1492,0.2807,0.0,"1,2,3,4,5",0.0,0.6889,0.5,0.0,0.429,0.0,0.0,0.0,0.572,0.4265,0.7419,0.0,
2026-08-18,1975,朝日工業社,建設業,40.25,0.0,除外,0.5793,0.5782,0.3906,0.1989,0.2657,0.3729,0.4193,0.4368,0.3333,0.2273,0.3684,0.2,0.246,0.4368,0.3798,0.0,"1,2,3,4,5",1.0,1.0,1.0,0.0,1.0,0.1342,0.5,0.0,0.7766,0.7941,0.7419,0.0,0.0
2026-08-18,1979,大氣社,建設業,48.01,0.4,除外,0.6574,0.6072,0.2758,0.4184,0.4416,0.369,0.3172,0.3503,0.0667,1.0,0.4737,0.2,0.1789,,0.1459,1.0,"3,4,5",1.0,1.0,1.0,0.0,1.0,0.2588,1.0,0.0,0.8193,0.8676,0.7419,0.0,0.0
2026-08-18,197A,タウンズ,医薬品,15.78,0.0,除外,0.0,0.0,0.3417,,0.2896,0.0,0.4674,0.6327,0.2667,0.0,0.2632,0.5,0.4829,0.1399,0.5355,0.0,"1,2,3,4,5",,,,,,,,,,,,,
2026-08-18,1980,ダイダン,建設業,46.53,0.2,除外,0.425,0.6568,0.2127,,0.5668,0.0,0.5841,0.0,0.2667,0.2273,0.0526,1.0,0.7556,0.1871,0.5443,0.7803,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.4,0.8276,0.8824,0.7419,0.1753,
2026-08-18,1982,日比谷総合設備,建設業,39.32,0.2,除外,0.6636,0.5388,0.2161,0.0972,0.4502,0.0,0.3976,0.0,0.4667,0.1364,0.0526,0.2,0.8985,0.1679,0.7345,0.0,"2,3,4,5",1.0,1.0,1.0,0.0,1.0,0.4084,0.5,0.4,0.7219,0.6912,0.7419,0.0,0.0
