date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_2-a,part_2-b,part_2-c,part_2-d,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_4-b
2026-08-20,8129,東邦ホールディングス,卸売業,19.63,0.0,除外,0.0,0.0,0.344,,0.4412,,,,,0.0,0.2112,0.8983,0.2667,0.4545,0.3158,0.5,0.6345,0.1303,0.0,1.0,"1,2,3,4,5",,,,,,,,,
2026-08-20,8130,サンゲツ,卸売業,46.05,0.2,除外,0.7107,0.4179,0.5454,0.3926,0.2361,0.2189,0.1613,0.3871,0.9043,0.4998,0.3359,0.9458,0.4,0.2273,0.825,0.5,0.2338,0.1228,0.1572,0.4308,"2,3,4,5",1.0,0.5461,0.0,1.0,0.3835,0.7556,1.0,1.0,0.0182
2026-08-20,8133,伊藤忠エネクス,卸売業,61.0,0.2,除外,0.9373,0.5267,0.5906,,0.3856,0.4207,0.3763,0.3871,0.9225,0.2957,0.4867,0.9801,0.6,,0.75,0.2,0.7576,,0.3992,0.0,"2,3,4,5",1.0,0.838,1.0,1.0,0.7062,0.9539,1.0,1.0,0.7636
2026-08-20,8136,サンリオ,卸売業,18.88,0.0,除外,0.0,0.0,0.3203,0.5045,0.1191,,,,,0.3402,0.3409,0.0,0.6,0.0,0.6,1.0,0.2388,,0.1184,0.0,"1,2,3,4,5",,,,,,,,,0.4182
2026-08-20,8137,サンワテクノス,卸売業,60.69,0.2,除外,1.0,0.4864,0.445,,0.4961,0.7305,0.828,0.3871,0.0,0.1,0.2368,0.9765,0.4667,,0.2632,0.2,0.7165,0.2679,0.0,1.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2026-08-20,8141,新光商事,卸売業,54.59,0.4,除外,0.7011,0.5104,0.4333,0.2862,0.7986,0.7729,0.8817,0.3871,0.0,1.0,0.0,0.0,0.7333,0.6818,0.2632,0.2,1.0,0.3667,0.8276,1.0,"2,3,4",1.0,1.0,1.0,0.0,1.0,0.6092,1.0,0.0,0.0
2026-08-20,8142,トーホー,卸売業,58.29,0.4,除外,0.9878,0.4786,0.2553,,0.6099,0.5577,0.6022,0.3871,0.3674,0.0,0.3681,0.6532,0.0,,0.0,0.2,0.7808,,0.3346,0.7142,"2,3,4",1.0,1.0,1.0,1.0,0.9506,0.9521,1.0,1.0,0.0
2026-08-20,8150,三信電気,卸売業,50.52,0.2,除外,0.8186,0.5692,0.4866,0.3932,0.2585,0.455,0.4839,0.3871,0.9507,0.0102,0.4998,0.5698,0.8667,0.0,1.0,0.5,0.8304,0.2035,0.0,0.0,"2,3,4,5",1.0,0.8389,0.0,1.0,0.8873,0.8229,1.0,1.0,0.0727
2026-08-20,8151,東陽テクニカ,卸売業,53.1,0.4,除外,0.9862,0.3839,0.2441,0.3672,0.6737,0.557,0.5914,0.3871,0.0,0.2037,0.3062,0.0,0.4667,0.8636,0.1053,0.5,1.0,0.3882,0.3065,1.0,"2,3,4",1.0,1.0,1.0,1.0,1.0,0.8898,1.0,1.0,0.0
2026-08-20,8153,モスフードサービス,卸売業,32.34,0.0,除外,0.0,0.4029,0.4193,,0.4713,0.2234,0.172,0.3871,0.8291,0.4224,0.3963,0.3917,0.4667,0.1364,0.0526,0.2,0.5375,0.1461,0.2015,1.0,"1,2,3,4,5",,,,,,,,,
2026-08-20,8154,加賀電子,卸売業,59.61,0.2,除外,0.9942,0.5415,0.4566,,0.3923,0.6977,0.7742,0.3871,0.3069,0.6273,0.292,0.3072,0.6,,0.3158,0.2,0.6117,0.4593,0.0,0.498,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.9535,1.0,1.0,0.0
2026-08-20,8160,木曽路,小売業,21.66,0.0,除外,0.0,0.3512,0.1896,,0.3255,0.2115,0.4348,0.0645,0.694,0.0,0.3596,0.2656,0.1333,0.1364,0.2632,0.2,0.3084,0.1445,0.051,0.7983,"1,2,3,4,5",,,,,,,,,
2026-08-20,8163,ＳＲＳホールディングス,小売業,41.43,0.2,除外,0.9719,0.451,0.2345,,0.0,0.2524,0.487,0.0645,1.0,0.0,0.4045,0.0,0.5333,,0.675,0.5,0.0,,0.0,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.7755,1.0,1.0,0.5273
2026-08-20,8173,上新電機,小売業,65.5,0.6,監視,1.0,0.6637,0.6096,,0.3467,0.6687,0.9217,0.0645,1.0,0.8193,0.4014,0.8845,0.3333,,0.2105,0.2,0.0,0.4927,0.0,0.8941,"4,5",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2026-08-20,8174,日本瓦斯,小売業,49.3,0.2,除外,0.4046,0.3007,0.7185,,0.5482,0.3038,0.5739,0.0645,0.2607,0.8365,0.2948,0.9427,0.8,0.2273,0.2632,0.2,0.9009,0.1147,0.2813,0.8958,"1,2,4,5",0.0,0.7138,0.0,1.0,0.2792,0.6435,0.5,0.1,
2026-08-20,8179,ロイヤルホールディングス,小売業,30.07,0.2,除外,0.0,0.0,0.7006,,0.502,,,,,1.0,0.5753,0.7606,0.4667,0.2273,0.8947,0.5,0.5743,0.1083,0.3255,1.0,"1,2,4,5",,,,,,,,,
2026-08-20,8185,チヨダ,小売業,22.89,0.2,除外,0.0,0.0,0.3256,0.2004,0.6187,,,,,0.0,0.3408,0.5616,0.4,0.0909,0.2105,0.5,1.0,0.1318,0.4426,0.9002,"1,2,3,4",,,,,,,,,0.0
2026-08-20,8194,ライフコーポレーション,小売業,43.12,0.2,除外,0.7343,0.2573,0.5626,0.1413,0.4606,0.3388,0.6261,0.0645,0.0,0.7157,0.1424,0.9922,0.4,0.1364,0.2105,0.2,0.286,0.1239,0.4326,1.0,"2,3,4,5",1.0,0.632,0.5,1.0,0.3171,0.7251,1.0,0.7,0.0182
2026-08-20,8200,リンガーハット,小売業,43.22,0.2,除外,0.6304,0.4908,0.4244,,0.183,0.3075,0.5913,0.0645,1.0,0.0432,0.5121,0.809,0.3333,,0.2632,0.2,0.0,,0.2597,0.2893,"2,3,4,5",1.0,0.5436,0.0,1.0,0.4269,0.7727,1.0,0.3,0.3273
2026-08-20,8214,ＡＯＫＩホールディングス,小売業,25.14,0.0,除外,0.0,0.4111,0.248,0.1382,0.4598,0.2405,0.4696,0.0645,0.8699,0.0,0.3069,0.1518,0.5333,0.0,0.0526,0.5,1.0,0.1207,0.7184,0.0,"1,2,3,4,5",,,,,,,,,0.0
2026-08-20,8218,コメリ,小売業,50.35,0.2,除外,0.9635,0.5623,0.4628,,0.0254,0.4281,0.7565,0.0645,1.0,0.0,0.4502,0.8009,0.6,,0.5789,0.2,0.0763,,0.0,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,0.8849,0.8229,1.0,1.0,0.9474
2026-08-20,8219,青山商事,小売業,28.27,0.2,除外,0.0,0.0,0.4707,,0.66,,,,,0.4157,0.3572,0.4432,0.6667,0.0909,0.85,0.2,1.0,0.1396,0.5003,1.0,"1,2,3,4",,,,,,,,,
2026-08-20,8227,しまむら,小売業,25.5,0.2,除外,0.0,0.0,0.6498,,0.3703,,,,,0.6299,0.5147,0.9212,0.5333,0.0,0.1579,0.5,0.2555,0.1401,0.4497,0.6357,"1,2,4,5",,,,,,,,,
2026-08-20,8233,高島屋,小売業,54.93,0.4,除外,0.817,0.7386,0.5468,0.3526,0.2915,0.8898,1.0,0.0645,1.0,0.866,0.3553,0.8991,0.0667,1.0,0.2105,0.2,0.0,0.4388,0.3964,0.3307,"3,4,5",1.0,1.0,1.0,1.0,1.0,0.5357,1.0,0.0,0.0
2026-08-20,8237,松屋,小売業,61.15,0.6,監視,0.8125,0.7085,0.6391,0.3494,0.5481,0.8042,0.9652,0.0645,1.0,0.3476,0.72,0.7553,0.7333,0.1818,0.625,0.5,0.8041,0.2246,0.1638,1.0,"4,5",1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0909
2026-08-20,8242,エイチ・ツー・オー　リテイリング,小売業,61.13,0.4,除外,0.8985,0.6538,0.4836,0.4447,0.5759,0.6463,0.9043,0.0645,1.0,0.3042,0.4059,0.7576,0.4667,1.0,0.0526,0.2,0.5498,,0.8944,0.2835,"3,4,5",1.0,1.0,1.0,1.0,1.0,0.8881,1.0,0.3,0.5263
2026-08-20,8252,丸井グループ,小売業,31.18,0.2,除外,0.0,0.0,0.6977,,0.5494,,,,,0.578,0.5434,0.936,0.7333,0.0,0.0,0.5,0.8406,0.0999,0.257,1.0,"1,2,4,5",,,,,,,,,
2026-08-20,8253,クレディセゾン,その他金融業,57.88,0.2,除外,0.9887,0.5527,0.5911,0.3463,0.4152,0.4028,0.55,0.2581,1.0,0.6405,0.4761,0.7813,0.4667,0.2273,0.1579,0.2,0.7777,0.1273,0.7558,0.0,"2,3,4,5",1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.8
2026-08-20,8255,アクシアル　リテイリング,小売業,49.54,0.2,除外,0.7623,0.4766,0.3984,0.264,0.576,0.2852,0.5565,0.0645,1.0,0.388,0.2875,0.5848,0.3333,0.2273,0.2105,0.2,0.7456,0.1099,0.4813,0.967,"2,3,4,5",1.0,0.833,0.5,1.0,0.763,0.7027,1.0,0.3,0.4182
2026-08-20,8267,イオン,小売業,26.42,0.2,除外,0.0,0.0,0.3643,,0.6925,,,,,0.1858,0.3582,0.7133,0.2,0.0,0.0526,1.0,0.6439,0.3153,0.8109,1.0,"1,2,3,4",,,,,,,,,
2026-08-20,8273,イズミ,小売業,30.68,0.2,除外,0.0,0.0,0.8233,0.175,0.5358,,,,,0.8861,0.4807,0.9263,1.0,0.5,0.0,0.2,0.5224,0.1886,0.4324,1.0,"1,2,4,5",,,,,,,,,0.0
